,0
1,1
4,4
5,5
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
17,17
23,23
24,24
25,25
27,27
28,28
30,30
31,31
32,32
33,33
34,34
36,36
38,38
39,39
40,40
41,41
42,42
44,44
48,48
49,49
50,50
52,52
53,53
54,54
55,55
56,56
57,57
59,59
60,60
63,63
64,64
67,67
68,68
70,70
71,71
72,72
73,73
74,74
77,77
78,78
79,79
80,80
83,83
86,86
87,87
88,88
90,90
91,91
92,92
93,93
94,94
96,96
97,97
99,99
100,100
101,101
102,102
104,104
105,105
106,106
107,107
108,108
109,109
110,110
111,111
112,112
114,114
115,115
116,116
117,117
118,118
120,120
121,121
122,122
124,124
125,125
127,127
128,128
129,129
130,130
131,131
132,132
133,133
134,134
137,137
138,138
139,139
140,140
141,141
142,142
143,143
144,144
145,145
146,146
147,147
150,150
151,151
152,152
155,155
156,156
157,157
158,158
159,159
160,160
161,161
162,162
165,165
168,168
171,171
172,172
174,174
175,175
176,176
177,177
178,178
180,180
181,181
183,183
185,185
186,186
187,187
188,188
190,190
191,191
194,194
195,195
197,197
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,207
208,208
209,209
210,210
211,211
212,212
213,213
214,214
215,215
220,220
221,221
222,222
223,223
225,225
226,226
227,227
229,229
230,230
231,231
232,232
233,233
234,234
241,241
243,243
245,245
248,248
249,249
250,250
252,252
253,253
254,254
255,255
257,257
258,258
260,260
261,261
262,262
264,264
266,266
267,267
268,268
271,271
274,274
275,275
276,276
277,277
278,278
279,279
281,281
284,284
287,287
289,289
290,290
292,292
293,293
294,294
296,296
297,297
298,298
300,300
302,302
303,303
304,304
305,305
306,306
307,307
308,308
309,309
311,311
313,313
316,316
318,318
319,319
320,320
321,321
322,322
324,324
325,325
326,326
328,328
329,329
331,331
332,332
333,333
334,334
339,339
340,340
342,342
344,344
345,345
346,346
348,348
349,349
351,351
352,352
354,354
357,357
358,358
359,359
361,361
362,362
363,363
365,365
367,367
368,368
369,369
370,370
371,371
372,372
374,374
375,375
376,376
377,377
378,378
382,382
383,383
384,384
385,385
388,388
390,390
391,391
392,392
393,393
394,394
395,395
397,397
399,399
402,402
403,403
405,405
406,406
410,410
411,411
412,412
413,413
414,414
416,416
417,417
419,419
420,420
421,421
422,422
423,423
424,424
426,426
428,428
430,430
431,431
432,432
433,433
435,435
437,437
438,438
440,440
445,445
447,447
450,450
453,453
454,454
456,456
457,457
458,458
460,460
462,462
463,463
465,465
466,466
468,468
469,469
470,470
472,472
474,474
475,475
476,476
478,478
479,479
482,482
483,483
484,484
485,485
487,487
488,488
489,489
491,491
492,492
493,493
494,494
495,495
496,496
497,497
499,499
500,500
502,502
503,503
504,504
505,505
506,506
507,507
508,508
509,509
511,511
512,512
514,514
516,516
518,518
519,519
520,520
522,522
524,524
